Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0[GeV5]
0,100.0,0.01,737.4059022868757,5.851659530104901e+27
1, ,0.01002768031739658,688.864969688955, 
2, ,0.010055437254790278,645.2318082574733, 
3, ,0.010083271024267678,605.872372956974, 
4, ,0.010111181838502424,570.251486349271, 
5, ,0.010139169910756848,537.9149661975066, 
6, ,0.010167235454883608,508.47540037009327, 
7, ,0.010195378685327302,481.60074492227386, 
8, ,0.01022359981712612,457.00512441773026, 
9, ,0.010251899065913488,434.4413626976158, 
10, ,0.010280276647919707,413.69488277293846, 
11, ,0.010308732779973613,394.57869703823013, 
12, ,0.010337267679504231,376.9292711486496, 
13, ,0.010365881564542438,360.60309205963154, 
14, ,0.010394574653722628,345.4738067725945, 
15, ,0.010423347166284376,331.4298260709801, 
16, ,0.010452199322074123,318.37230902095195, 
17, ,0.010481131341546858,306.213460763113, 
18, ,0.010510143445767785,294.8750892577883, 
19, ,0.010539235856414027,284.2873770059521, 
20, ,0.010568408795776323,274.38783198186326, 
21, ,0.010597662486760707,265.12038856013663, 
22, ,0.010626997152890243,256.43463446363063, 
23, ,0.0106564130183067,248.28514397853849, 
24, ,0.010685910307772278,240.63090109463428, 
25, ,0.010715489246671327,233.4347989988414, 
26, ,0.01074515006101208,226.66320460902014, 
27, ,0.010774892977428351,220.28557868409732, 
28, ,0.01080471822318129,214.27414356642095, 
29, ,0.010834626026161113,208.6035918659391, 
30, ,0.01086461661488885,203.25083043374886, 
31, ,0.010894690218518079,198.19475483482174, 
32, ,0.01092484706683668,193.416050248463, 
33, ,0.010955087390268592,188.8970153261037, 
34, ,0.010985411419875584,184.6214060401854, 
35, ,0.011015819387359,180.57429698209765, 
36, ,0.011046311525061551,176.74195792504807, 
37, ,0.011076888065969064,173.11174377064472, 
38, ,0.011107549243712309,169.67199625494035, 
39, ,0.011138295292568715,166.41195600835036, 
40, ,0.01116912644746423,163.32168375028985, 
41, ,0.011200042943975063,160.39198955886891, 
42, ,0.011231045018329522,157.61436929259872, 
43, ,0.011262132907409786,154.9809473584946, 
44, ,0.011293306848753744,152.48442512204002, 
45, ,0.011324567080556784,150.11803434172705, 
46, ,0.011355913841673651,147.8754950863249, 
47, ,0.011387347371620228,145.75097765843893, 
48, ,0.011418867910575385,143.7390681046878, 
49, ,0.011450475699382815,141.8347369422608, 
50, ,0.011482170979552892,140.03331077470241, 
51, ,0.011513953993264476,138.33044650741422, 
52, ,0.011545824983366794,136.7221079063119, 
53, ,0.011577784193381284,135.20454427197748, 
54, ,0.011609831867503471,133.7742710270254, 
55, ,0.011641968250604815,132.42805203676502, 
56, ,0.011674193588234582,131.1628835029292, 
57, ,0.011706508126621726,129.97597928767516, 
58, ,0.01173891211267678,128.8647575404625, 
59, ,0.011771405793993724,127.82682851409993, 
60, ,0.011803989418851895,126.85998346839726, 
61, ,0.011836663236217857,125.96218457068605, 
62, ,0.011869427495747351,125.13155571213305, 
63, ,0.01190228244778715,124.36637416741492, 
64, ,0.011935228343377,123.66506303306875, 
65, ,0.011968265434251531,123.02618438680966, 
66, ,0.012001393972842193,122.44843311638606, 
67, ,0.012034614212279159,121.9306313722318, 
68, ,0.012067926406393287,121.47172360333572, 
69, ,0.012101330809718036,121.07077214045032, 
70, ,0.012134827677491435,120.72695329506664, 
71, ,0.012168417265658014,120.43955394654087, 
72, ,0.012202099830870759,120.20796859341301, 
73, ,0.012235875630493085,120.03169684836207, 
74, ,0.012269744922600795,119.91034135942336, 
75, ,0.012303707965984064,119.84360614309423, 
76, ,0.012337765020149391,119.83129531780256, 
77, ,0.0123719163453216,119.87331222894288, 
78, ,0.012406162202445843,119.96965895932273, 
79, ,0.01244050285318956,120.12043622143389, 
80, ,0.012474938559944495,120.32584363050023, 
81, ,0.012509469585828705,120.5861803597764, 
82, ,0.012544096194688563,120.90184618210786, 
83, ,0.012578818651100786,121.27334290433981, 
84, ,0.012613637220374436,121.7012762037997, 
85, ,0.012648552168552958,122.18635787881746, 
86, ,0.012683563762416231,122.7294085280958, 
87, ,0.012718672269482577,123.33136067675191, 
88, ,0.012753877958010813,123.99326237004115, 
89, ,0.012789181097002313,124.71628125918234, 
90, ,0.012824581956203049,125.50170920736794, 
91, ,0.012860080806105664,126.35096744801167, 
92, ,0.012895677917951532,127.26561233159688, 
93, ,0.012931373563732822,128.24734170220114, 
94, ,0.01296716801619461,129.2980019499455, 
95, ,0.013003061548836913,130.41959579130537, 
96, ,0.01303905443591682,131.61429083551974, 
97, ,0.013075146952450569,132.8844290023049, 
98, ,0.013111339374215644,134.23253686383794, 
99, ,0.0131476319777529,135.6613369926215, 
100, ,0.013184025040368664,137.17376040649225, 
101, ,0.013220518840136844,138.772960212864, 
102, ,0.013257113655901088,140.46232656643093, 
103, ,0.013293809767276876,142.2455030682058, 
104, ,0.013330607454653674,144.12640474917302, 
105, ,0.013367506999197077,146.10923779918832, 
106, ,0.013404508682850957,148.1985212214325, 
107, ,0.01344161278833961,150.39911061498353, 
108, ,0.013478819599169923,152.71622431339227, 
109, ,0.013516129399633552,155.15547213589434, 
110, ,0.013553542474809057,157.72288704071335, 
111, ,0.013591059110564132,160.42496000736037, 
112, ,0.01362867959355774,163.26867851767105, 
113, ,0.013666404211242338,166.26156905447797, 
114, ,0.013704233251866052,169.41174409319376, 
115, ,0.013742167004474894,172.7279541265738, 
116, ,0.013780205758914962,176.21964533777208, 
117, ,0.01381834980583465,179.89702362339935, 
118, ,0.013856599436686896,183.7711257685386, 
119, ,0.013894954943731374,187.85389869203672, 
120, ,0.013933416620036741,192.15828781582724, 
121, ,0.01397198475948288,196.69833576993238, 
122, ,0.014010659656763149,201.48929282938255, 
123, ,0.014049441607386614,206.54774069564783, 
124, ,0.014088330907680332,211.89173148936018, 
125, ,0.014127327854791597,217.54094412054022, 
126, ,0.01416643274669021,223.51686055627283, 
127, ,0.014205645882170775,229.84296492482744, 
128, ,0.014244967560854969,236.54496889304727, 
129, ,0.014284398083193813,243.65106734708507, 
130, ,0.014323937750470004,251.19222911581542, 
131, ,0.014363586864800191,259.20252832670786, 
132, ,0.01440334572913729,267.719523007408, 
133, ,0.014443214647272802,276.7846887821125, 
134, ,0.01448319392383915,286.44391700939076, 
135, ,0.01452328386431196,296.7480885299147, 
136, ,0.014563484775012438,307.7537364172841, 
137, ,0.014603796963109697,319.52381385287674, 
138, ,0.014644220736623106,332.1285866045907, 
139, ,0.014684756404424638,345.64667374343264, 
140, ,0.01472540427624123,360.1662653932925, 
141, ,0.014766164662657162,375.78655275281744, 
142, ,0.01480703787511641,392.61941371300946, 
143, ,0.014848024225925047,410.7914075913682, 
144, ,0.014889124028253618,430.44614543541337, 
145, ,0.014930337596139532,451.74711884371527, 
146, ,0.014971665244489453,474.8810914195477, 
147, ,0.015013107289081737,500.06218430696856, 
148, ,0.015054664046568803,527.5368227939127, 
149, ,0.015096335834479587,557.5897574872884, 
150, ,0.015138122971221963,590.5514349176004, 
151, ,0.015180025776085153,626.8070739793108, 
152, ,0.015222044569242182,666.807913902257, 
153, ,0.015264179671752334,711.0852472007537, 
154, ,0.015306431405563587,760.2680526546866, 
155, ,0.015348800093515087,815.1053211921247, 
156, ,0.0153912860593396,876.494554402484, 
157, ,0.015433889627666009,945.5184601638758, 
158, ,0.01547661112402176,1023.4926461717943, 
159, ,0.015519450874835397,1112.028232659905, 
160, ,0.015562409207439003,1213.1149452581785, 
161, ,0.015605486450070741,1329.2326839554537, 
162, ,0.01564868293187734,1463.5032383840783, 
163, ,0.015691998982916622,1619.8994601374375, 
164, ,0.015735434934160016,1803.5380251597703, 
165, ,0.01577899111749509,2021.096001961723, 
166, ,0.015822667865728095,2281.4144262458235, 
167, ,0.015866465512586497,2596.390522002501, 
168, ,0.015910384392721525,2982.3262418654967, 
169, ,0.015954424841710738,3462.0176453167746, 
170, ,0.015998587196060586,4068.0833113171043, 
171, ,0.016042871793208964,4848.435355529781, 
172, ,0.01608727897152783,5875.598010292696, 
173, ,0.016131809070325753,7263.238373708624, 
174, ,0.01617646242985051,9196.89722070027, 
175, ,0.01622123939129172,11994.309485610936, 
176, ,0.016266140296783402,16231.584851492693, 
177, ,0.016311165489406632,23027.754918724986, 
178, ,0.016356315313192125,34746.5304946902, 
179, ,0.016401590113122897,56923.39079007832, 
180, ,0.01644699023513688,104292.20400081843, 
181, ,0.016492516026129576,222857.43266247504, 
182, ,0.016538167833956726,142338.76194367185, 
183, ,0.01658394600743691,72983.99892829341, 
184, ,0.01662985089635427,42501.87170370362, 
185, ,0.016675882851461155,27174.05000140662, 
186, ,0.01672204222448082,18625.809603474965, 
187, ,0.016768329368110086,13459.726795518396, 
188, ,0.01681474463602205,10134.009089130668, 
189, ,0.016861288382868805,7882.254295387361, 
190, ,0.016907960964284104,6293.982070941809, 
191, ,0.01695476273688614,5135.340091144802, 
192, ,0.017001694058280212,4266.043499089537, 
193, ,0.017048755287061488,3598.1860985869184, 
194, ,0.017095946782817742,3074.5956005823155, 
195, ,0.017143268906132082,2656.8780553152574, 
196, ,0.017190722018585746,2318.5228706695602, 
